"number","count","president","year","years_active","party","sotu_type"
"136",136,"Calvin Coolidge",1924,"1923-1925","Republican","written"
"137",137,"Calvin Coolidge",1925,"1925-1929","Republican","written"
"138",138,"Calvin Coolidge",1926,"1925-1929","Republican","written"
"139",139,"Calvin Coolidge",1927,"1925-1929","Republican","written"
"140",140,"Calvin Coolidge",1928,"1925-1929","Republican","written"
"141",141,"Herbert Hoover",1929,"1929-1933","Republican","written"
"142",142,"Herbert Hoover",1930,"1929-1933","Republican","written"
"143",143,"Herbert Hoover",1931,"1929-1933","Republican","written"
"144",144,"Herbert Hoover",1932,"1929-1933","Republican","written"
"145",145,"Franklin D. Roosevelt",1934,"1933-1937","Democratic","speech"
"146",146,"Franklin D. Roosevelt",1935,"1933-1937","Democratic","speech"
"147",147,"Franklin D. Roosevelt",1936,"1933-1937","Democratic","speech"
"148",148,"Franklin D. Roosevelt",1937,"1937-1941","Democratic","speech"
"149",149,"Franklin D. Roosevelt",1938,"1937-1941","Democratic","speech"
"150",150,"Franklin D. Roosevelt",1939,"1937-1941","Democratic","speech"
"151",151,"Franklin D. Roosevelt",1940,"1937-1941","Democratic","speech"
"152",152,"Franklin D. Roosevelt",1941,"1941-1945","Democratic","speech"
"153",153,"Franklin D. Roosevelt",1942,"1941-1945","Democratic","speech"
"154",154,"Franklin D. Roosevelt",1943,"1941-1945","Democratic","speech"
"155",155,"Franklin D. Roosevelt",1944,"1941-1945","Democratic","speech"
"156",156,"Franklin D. Roosevelt",1945,"1945","Democratic","speech"
"157",157,"Franklin D. Roosevelt",1945,"1945","Democratic","written"
"158",158,"Harry S Truman",1946,"1945-1949","Democratic","written"
"159",159,"Harry S Truman",1947,"1945-1949","Democratic","speech"
"160",160,"Harry S Truman",1948,"1945-1949","Democratic","speech"
"161",161,"Harry S Truman",1949,"1949-1953","Democratic","speech"
"162",162,"Harry S Truman",1950,"1949-1953","Democratic","speech"
"163",163,"Harry S Truman",1951,"1949-1953","Democratic","speech"
"164",164,"Harry S Truman",1952,"1949-1953","Democratic","speech"
"165",165,"Dwight D. Eisenhower",1953,"1953-1957","Republican","written"
"166",166,"Harry S Truman",1953,"1949-1953","Democratic","written"
"167",167,"Dwight D. Eisenhower",1954,"1953-1957","Republican","speech"
"168",168,"Dwight D. Eisenhower",1955,"1953-1957","Republican","speech"
"169",169,"Dwight D. Eisenhower",1956,"1953-1957","Republican","speech"
"170",170,"Dwight D. Eisenhower",1956,"1953-1957","Republican","written"
"171",171,"Dwight D. Eisenhower",1957,"1957-1961","Republican","speech"
"172",172,"Dwight D. Eisenhower",1958,"1957-1961","Republican","speech"
"173",173,"Dwight D. Eisenhower",1959,"1957-1961","Republican","speech"
"174",174,"Dwight D. Eisenhower",1960,"1957-1961","Republican","speech"
"175",175,"John F. Kennedy",1961,"1961-1963","Democratic","written"
"176",176,"Dwight D. Eisenhower",1961,"1957-1961","Republican","written"
"177",177,"John F. Kennedy",1962,"1961-1963","Democratic","speech"
"178",178,"John F. Kennedy",1963,"1961-1963","Democratic","speech"
"179",179,"Lyndon B. Johnson",1964,"1964-1965","Democratic","speech"
"180",180,"Lyndon B. Johnson",1965,"1965-1969","Democratic","speech"
"181",181,"Lyndon B. Johnson",1966,"1965-1969","Democratic","speech"
"182",182,"Lyndon B. Johnson",1967,"1965-1969","Democratic","speech"
"183",183,"Lyndon B. Johnson",1968,"1965-1969","Democratic","speech"
"184",184,"Lyndon B. Johnson",1969,"1965-1969","Democratic","written"
"185",185,"Richard M. Nixon",1970,"1969-1973","Republican","speech"
"186",186,"Richard M. Nixon",1971,"1969-1973","Republican","speech"
"187",187,"Richard M. Nixon",1972,"1969-1973","Republican","speech"
"188",188,"Richard M. Nixon",1972,"1969-1973","Republican","written"
"189",189,"Richard M. Nixon",1974,"1973-1974","Republican","speech"
"190",190,"Richard M. Nixon",1974,"1973-1974","Republican","written"
"191",191,"Gerald R. Ford",1975,"1974-1977","Republican","speech"
"192",192,"Gerald R. Ford",1976,"1974-1977","Republican","speech"
"193",193,"Gerald R. Ford",1977,"1974-1977","Republican","written"
"194",194,"Jimmy Carter",1978,"1977-1981","Democratic","speech"
"195",195,"Jimmy Carter",1978,"1977-1981","Democratic","written"
"196",196,"Jimmy Carter",1979,"1977-1981","Democratic","speech"
"197",197,"Jimmy Carter",1979,"1977-1981","Democratic","written"
"198",198,"Jimmy Carter",1980,"1977-1981","Democratic","speech"
"199",199,"Jimmy Carter",1980,"1977-1981","Democratic","written"
"200",200,"Ronald Reagan",1981,"1981-1985","Republican","speech"
"201",201,"Jimmy Carter",1981,"1977-1981","Democratic","written"
"202",202,"Ronald Reagan",1982,"1981-1985","Republican","speech"
"203",203,"Ronald Reagan",1983,"1981-1985","Republican","speech"
"204",204,"Ronald Reagan",1984,"1981-1985","Republican","speech"
"205",205,"Ronald Reagan",1985,"1985-1989","Republican","speech"
"206",206,"Ronald Reagan",1986,"1985-1989","Republican","speech"
"207",207,"Ronald Reagan",1987,"1985-1989","Republican","speech"
"208",208,"Ronald Reagan",1988,"1985-1989","Republican","speech"
"209",209,"George Bush",1989,"1989-1993","Republican","speech"
"210",210,"George Bush",1990,"1989-1993","Republican","speech"
"211",211,"George Bush",1991,"1989-1993","Republican","speech"
"212",212,"George Bush",1992,"1989-1993","Republican","speech"
"213",213,"William J. Clinton",1993,"1993-1997","Democratic","speech"
"214",214,"William J. Clinton",1994,"1993-1997","Democratic","speech"
"215",215,"William J. Clinton",1995,"1993-1997","Democratic","speech"
"216",216,"William J. Clinton",1996,"1993-1997","Democratic","speech"
"217",217,"William J. Clinton",1997,"1997-2001","Democratic","speech"
"218",218,"William J. Clinton",1998,"1997-2001","Democratic","speech"
"219",219,"William J. Clinton",1999,"1997-2001","Democratic","speech"
"220",220,"William J. Clinton",2000,"1997-2001","Democratic","speech"
"221",221,"George W. Bush",2001,"2001-2005","Republican","speech"
"222",222,"George W. Bush",2002,"2001-2005","Republican","speech"
"223",223,"George W. Bush",2003,"2001-2005","Republican","speech"
"224",224,"George W. Bush",2004,"2001-2005","Republican","speech"
"225",225,"George W. Bush",2005,"2005-2009","Republican","speech"
"226",226,"George W. Bush",2006,"2005-2009","Republican","speech"
"227",227,"George W. Bush",2007,"2005-2009","Republican","speech"
"228",228,"George W. Bush",2008,"2005-2009","Republican","speech"
"229",229,"Barack Obama",2009,"2009-2013","Democratic","speech"
"230",230,"Barack Obama",2010,"2009-2013","Democratic","speech"
"231",231,"Barack Obama",2011,"2009-2013","Democratic","speech"
"232",232,"Barack Obama",2012,"2009-2013","Democratic","speech"
"233",233,"Barack Obama",2013,"2013-2016","Democratic","speech"
"234",234,"Barack Obama",2014,"2013-2016","Democratic","speech"
"235",235,"Barack Obama",2015,"2013-2016","Democratic","speech"
"236",236,"Barack Obama",2016,"2013-2016","Democratic","speech"
"237",237,"Donald Trump",2017,"2016-2020","Republican","speech"
"238",238,"Donald Trump",2018,"2016-2020","Republican","speech"
"239",239,"Donald Trump",2019,"2016-2020","Republican","speech"
"240",240,"Donald Trump",2020,"2016-2020","Republican","speech"
"241",241,"Joe Biden",2021,"2020-2024","Democratic","speech"
"242",242,"Joe Biden",2022,"2020-2024","Democratic","speech"
"243",243,"Joe Biden",2023,"2020-2024","Democratic","speech"
"244",244,"Joe Biden",2024,"2020-2024","Democratic","speech"
