QKEY,INTERVIEW_START_W146,INTERVIEW_END_W146,DEVICE_TYPE_W146,LANG_W146,FORM_W146,CONVFAM_POL_W146,CONVFAM_JOB_W146,CONVFAM_MDIA_W146,CONVFAM_RLG_W146,CONVFAM_SPRT_W146,CONVFAM_HLTH_W146,CONVFAM_NAT_W146,CONVFAM_LOC_W146,CONVFAM_FAM_W146,CONVFAM_CELEB_W146,CONVFAM_MONEY_W146,CONVFAM_PETS_W146,POL1JB_W146,POL1JBSTR_W146,CAMPNII_W146,PRZCMPGN_W146,MATTERS_W146,VOTEGEN_W146,VOTEGEN3_W146,QUALPRES_TRMP_MF_W146,QUALPRES_TRMP_PHY_W146,QUALPRES_TRMP_ADV_W146,QUALPRES_TRMP_ETH_W146,QUALPRES_TRMP_RSP_W146,QUALPRES_BDN_MF_W146,QUALPRES_BDN_PHY_W146,QUALPRES_BDN_ADV_W146,QUALPRES_BDN_ETH_W146,QUALPRES_BDN_RSP_W146,ELECTFTIGUE_W146,CMFRT_LIST_PRN_W146,CMFRT_LIST_ENG_W146,CMFRT_LIST_PRY_W146,CMFRT_LIST_MDN_W146,GOVSIZE1_W146,GOVT_ROLE_W146,USEXCEPT_W146,REGULATE_W146,ALLIES_W146,DISCRIM_W146,USASOLVE_W146,GOVWASTE_W146,RELIG_GOV_W146,DIVERSEPOP_MOD_W146,POLICY3MOD_W146,PRESGOODTRUMP_W146,PRESGOODBIDEN_W146,OPENIDEN_W146,NECCGOD_W146,BUSPROFIT_W146,GAINS_W146,ACTIVE_W146,GOVNEEDY_W146,MARRFAM_W146,US_ACTIVE_W146,TRANSGEND1_W146,AMDREAM1_W146,AMDREAMPOSS_W146,CONCEDE_W146,IVF_GDBD_W146,RGHTCNTRL_W146,GUNIMPCT_W146,BUSPOWER3_W146,POORASSIST_W146,SUPERPWR_W146,SOCIETY_SSM_W146,SOCIETY_RELG_W146,SOCIETY_LGB_W146,SOCIETY_WHT_W146,SOCIETY_EC_W146,SOCIETY_BC_W146,SOCIETY_THER_W146,SOCIETY_CHILD_W146,SOCIETY_AI_W146,SOCIETY_GUNS_W146,PROBOFF_a_W146,PROBOFF_b_W146,POLINTOL2_REP_W146,POLINTOL2_DEM_W146,ABRTLGL_W146,ABORTION3_W146,ABORTION4_W146,ABRTN_MED_W146,POLIMPT_SFE_W146,POLIMPT_RGHT_W146,POLIMPT_RCL_W146,POLIMPT_RESP_W146,GLBLZE_W146,GLBLZEREV_W146,GLBLZESUM_W146,RACESURV17_W146,CLMSRS1_W146,FIN_SIT_W146,ABRTVIEW_a_W146,ABRTVIEW_b_W146,ABRTVIEW_c_W146,LGLSTATUS_W146,NATLDPRT_W146,LGL_CITIZPRENSHIP_W146,LAWCOST_W146,ECONFAIR_W146,WOMENOBS_W146,GOVAID_W146,SUCCINLIFE_W146,GOODEVIL_W146,CRIMJUST_TGH_W146,MILSAFE_W146,WHADVANT_W146,AMHIST_FAIL_W146,AMHIST_SUCC_W146,GOVTHC_W146,SNGLPYER_W146,NOGOVTHC_W146,SOCSEC_FUT_W146,SOCSEC_RED_W146,SOCSEC_KEEP_W146,DTINDICTHRD_W146,DTINDICTLGL_W146,RPLC_W146,SEEKPOL_W146,SOURCEPOL_W146,AGEATTN1_a_W146,AGEATTN1_b_W146,AGEATTN2_a_W146,AGEATTN2_b_W146,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,HORSE_W146,HORSE_W151,WEIGHT_W146,WEIGHT_W146_W151
103677,2024-04-11T13:48:44Z,2024-04-11T14:19:25Z,2,1,1,1,1,2,3,1,1,,,,,,,2,1,,1,1,1,,2,2,3,2,1,5,5,4,5,5,1,2,1,,,,2,1,2,2,2,,,,1,2,1,5,2,1,2,2,,,,3,1,2,,2,,1,,2,,1,3,4,,,3,1,1,,,,1,2,,,3,4,1,,,,,,,1,2,4,4,3,5,2,,1,1,,1,2,1,,,,2,,,2,1,2,,2,,,,1,3,,1,2,3,2,,,1,1,2,2,3,1,2,4,2,,1,1,1,1,1,2,2,2,5,1,,1,1,1,9,1,1,1,3,1,1,0.7146421343081102,1.454901466460051
103956,2024-04-10T19:57:41Z,2024-04-10T20:14:59Z,1,1,2,,,,,,,1,1,2,3,2,1,1,1,1,,1,2,,5,4,5,5,5,1,2,1,1,1,1,,,2,1,2,,2,,,,1,2,1,1,1,5,1,1,,,,1,1,2,,2,,1,1,1,,2,,1,,,,3,3,,,,3,3,5,,,1,2,1,2,,1,2,2,2,2,1,,1,1,1,2,1,,5,2,,1,,,,2,2,2,,1,1,,,,,,2,,2,,,4,1,2,,,1,3,1,2,3,1,4,2,1,5,2,,1,1,1,1,5,11,,4,6,2,,2,4,1,2,4,2,2,2,2,,0.6081667412496183,
104210,2024-04-09T17:51:26Z,2024-04-09T18:50:25Z,2,1,2,,,,,,,2,2,2,2,3,1,1,2,3,,2,2,,5,5,5,5,5,2,3,2,1,1,2,,,2,1,2,,3,,,,2,2,1,1,1,5,3,1,,,,1,1,2,,2,,2,1,1,,2,,1,,,,1,3,,,,3,4,4,,,1,1,1,4,,1,2,1,1,4,2,,2,2,1,4,1,,5,2,,2,,,,2,1,2,,3,2,,,,,,2,,1,,,1,2,3,,,3,1,1,1,2,1,2,2,3,2,2,,1,1,1,1,2,12,,3,6,2,,2,4,1,2,5,2,2,1,2,,0.8337440126694354,
104368,2024-04-10T06:47:53Z,2024-04-10T08:04:54Z,1,1,1,2,1,2,2,2,2,,,,,,,2,1,,1,2,3,3,5,4,5,5,5,5,5,4,5,5,1,2,2,,,,2,1,1,1,1,,,,1,3,4,3,1,1,2,2,,,,1,1,1,,1,,1,,3,,2,5,5,,,3,2,1,,,,1,1,,,3,2,3,,,,,,,1,2,3,1,2,3,1,,2,,1,2,1,2,,,,3,,,2,2,1,2,,,,,2,4,,2,2,3,2,,,1,3,7,2,4,1,3,2,2,,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,3,3,1,2,3,,0.5646199356074174,
104491,2024-04-09T19:15:38Z,2024-04-09T19:37:29Z,1,1,1,2,2,2,3,2,2,,,,,,,1,1,,1,1,2,,5,5,5,5,5,1,2,1,1,1,2,2,1,,,,1,2,1,1,1,,,,1,1,5,1,1,1,1,2,,,,1,2,1,,1,,2,,2,,1,1,1,,,2,1,1,,,,1,1,,,1,4,2,,,,,,,1,2,1,1,1,1,5,,2,,1,2,1,2,,,,3,,,1,1,1,1,,,,,2,1,,1,2,1,2,,,1,4,9,1,4,2,2,3,2,,4,1,1,4,5,12,,3,6,2,,2,4,1,3,5,3,2,2,2,2,0.5994548704153203,0.9762685748988579
104689,2024-04-10T14:42:12Z,2024-04-10T14:56:29Z,2,1,1,1,2,1,1,2,1,,,,,,,1,1,,1,1,2,,5,5,5,5,5,1,1,1,1,1,2,2,1,,,,2,2,1,1,1,,,,1,3,5,1,1,2,2,2,,,,1,2,2,,1,,1,,2,,2,1,3,,,3,5,5,,,,1,1,,,1,4,3,,,,,,,2,1,2,99,2,1,3,,2,,1,2,1,2,,,,3,,,2,1,1,1,,,,,1,1,,1,2,2,3,,,2,2,3,3,4,2,3,2,2,,1,1,1,1,5,1,1,1,2,2,,2,3,1,1,3,2,2,1,2,2,0.8125017315987542,1.042456733875115
104727,2024-04-09T20:57:33Z,2024-04-09T21:08:38Z,1,1,2,,,,,,,2,2,1,3,3,1,2,1,3,,1,1,,2,2,1,2,1,5,5,5,5,5,2,,,1,2,1,,2,,,,1,1,1,1,1,1,5,2,,,,2,2,2,,1,,1,1,3,,1,,2,,,,3,3,,,,2,3,2,,,2,1,3,2,,1,2,2,2,1,2,,2,2,4,2,4,,2,1,1,,,,,1,2,1,,1,3,,,,,,1,2,,,,3,2,6,,,2,3,2,2,3,3,3,1,3,2,2,,1,1,1,1,1,2,2,2,6,1,,1,1,1,99,2,2,2,99,1,1,1.393933355885238,1.4754503465970679
105205,2024-04-10T10:06:45Z,2024-04-10T10:19:50Z,1,1,1,1,2,2,1,2,1,,,,,,,2,1,,1,1,1,,1,1,1,1,1,5,5,5,5,5,2,2,2,,,,2,2,2,2,2,,,,3,3,1,5,2,2,2,2,,,,3,1,2,,2,,1,,3,,1,5,5,,,5,5,3,,,,3,3,,,4,3,1,,,,,,,1,2,4,5,1,2,1,,1,1,,1,2,1,,,,2,,,1,1,2,,2,,,,4,3,,2,6,2,2,,,1,2,3,2,3,2,2,4,2,,1,1,1,1,1,2,2,2,1,1,,1,1,1,9,1,2,1,2,1,,0.7498559938463838,
106885,2024-04-09T11:14:46Z,2024-04-09T12:36:47Z,2,1,2,,,,,,,2,1,1,3,2,2,2,1,2,,1,1,,3,2,2,3,2,5,5,5,5,5,2,,,2,2,1,,2,,,,2,1,2,3,2,2,5,2,,,,2,1,1,,1,,1,2,2,,1,,2,,,,5,3,,,,4,5,4,,,4,1,4,4,,2,1,5,1,1,2,,2,4,4,1,5,,1,1,1,,,,,1,2,1,,1,4,,,,,,2,,2,,,3,2,2,,,3,1,1,4,9,2,4,2,1,5,1,1,1,4,3,1,1,2,2,2,1,1,,1,1,1,9,2,1,1,3,1,,0.261613173238054,
107023,2024-04-14T20:49:30Z,2024-04-14T21:28:21Z,1,1,2,,,,,,,2,1,2,3,2,2,1,1,2,,2,2,,5,5,5,5,5,2,2,2,2,2,2,,,1,1,2,,2,,,,1,2,2,1,1,5,2,1,,,,1,2,2,,1,,1,2,1,,2,,3,,,,3,1,,,,2,3,5,,,1,2,2,3,,3,2,3,1,4,2,,2,1,2,2,2,,3,2,,1,,,,2,1,1,,1,1,,,,,,2,,1,,,2,1,6,,,3,1,1,3,5,2,3,2,2,3,2,,1,2,2,1,6,1,1,1,4,2,,2,3,1,4,3,2,2,2,2,,0.2781043765905904,
107612,2024-04-09T18:42:58Z,2024-04-09T19:19:42Z,2,1,1,2,1,1,1,2,1,,,,,,,1,1,,1,1,2,,5,5,5,5,5,2,3,1,1,1,2,2,2,,,,1,3,1,1,1,,,,2,3,5,2,2,2,1,2,,,,4,2,1,,1,,2,,2,,1,3,5,,,1,1,1,,,,1,1,,,3,99,99,,,,,,,2,1,1,1,1,3,2,,2,,99,2,1,2,,,,3,,,1,1,1,2,,,,,3,1,,1,2,2,1,,,1,3,7,2,4,2,2,4,2,,1,2,2,1,1,1,2,1,2,99,2,2,3,1,1,3,2,2,1,2,2,0.5479629638239589,0.536337952569116
108035,2024-04-11T11:10:53Z,2024-04-11T11:26:34Z,2,1,2,,,,,,,1,2,2,3,1,2,2,1,2,,1,1,,1,1,2,2,1,5,5,5,5,5,2,,,1,2,1,,2,,,,1,1,1,2,1,1,5,2,,,,2,2,1,,1,,1,2,3,,1,,2,,,,5,5,,,,2,5,2,,,3,1,3,2,,2,1,4,2,1,2,,2,4,5,2,4,,1,1,1,,,,,1,2,1,,1,4,,,,,,1,2,,,,4,1,2,,,2,3,1,4,8,2,3,1,3,1,2,,1,2,2,1,1,1,2,1,3,1,,1,1,1,6,1,3,1,2,1,,1.2708507933554742,
108348,2024-04-13T19:59:59Z,2024-04-13T20:11:21Z,1,1,1,2,1,3,1,3,1,,,,,,,2,1,,2,1,1,,3,3,3,3,2,5,5,5,4,5,2,2,1,,,,2,1,2,1,2,,,,3,3,2,4,2,2,1,2,,,,3,1,2,,1,,1,,2,,2,5,4,,,4,3,2,,,,1,2,,,3,1,1,,,,,,,1,2,3,3,2,4,1,,1,1,,2,1,2,,,,2,,,2,3,1,2,,,,,4,2,,1,2,2,2,,,1,4,8,1,3,2,2,3,99,,1,1,1,1,6,1,1,1,2,3,1,1,1,1,3,2,1,2,2,1,1,0.7580960636816644,1.1938195502954205
108592,2024-04-09T21:19:31Z,2024-04-09T21:42:25Z,1,1,2,,,,,,,1,1,1,1,1,3,1,1,1,,1,2,,5,5,5,5,5,1,1,1,1,1,1,,,1,1,2,,1,,,,2,2,1,1,1,5,1,1,,,,1,1,2,,2,,1,1,1,,2,,3,,,,2,3,,,,3,3,5,,,1,1,2,3,,1,1,2,1,1,1,,1,1,2,1,1,,3,2,,1,,,,2,1,1,,1,1,,,,,,2,,1,,,2,1,2,,,1,1,1,2,3,2,4,2,2,4,2,,1,2,2,1,3,1,2,1,2,2,,2,3,1,5,3,1,2,99,2,2,0.41116234882266517,0.3420949290609334
109299,2024-04-10T10:29:36Z,2024-04-10T11:14:56Z,1,1,1,2,3,2,3,3,2,,,,,,,2,1,,1,1,1,,1,1,2,2,1,5,5,5,5,5,2,1,1,,,,2,1,2,1,2,,,,3,3,1,5,2,1,2,2,,,,3,1,1,,2,,1,,3,,2,4,4,,,4,1,3,,,,1,3,,,2,4,1,,,,,,,1,2,4,5,1,4,4,,1,1,,1,2,1,,,,2,,,3,3,2,,2,,,,4,3,,2,99,3,2,,,1,4,9,2,4,1,2,4,1,1,1,5,3,1,1,11,2,4,5,4,1,1,2,1,7,3,3,2,2,1,,0.30002111804750947,
110041,2024-04-10T13:22:34Z,2024-04-10T13:39:58Z,1,1,1,1,2,2,3,1,2,,,,,,,2,1,,1,1,1,,1,1,2,2,1,5,5,5,5,5,1,2,2,,,,2,2,2,2,2,,,,3,1,2,5,2,1,2,2,,,,2,1,1,,1,,1,,3,,1,5,4,,,4,3,1,,,,1,2,,,3,4,3,,,,,,,2,1,4,5,1,4,3,,1,1,,1,2,1,,,,2,,,3,1,2,,2,,,,1,3,,1,2,3,3,,,1,3,5,2,4,1,1,6,2,,1,1,1,1,1,10,,3,6,1,,1,1,1,9,2,3,2,3,1,1,0.728435481604911,2.3697360941385073
110353,2024-04-09T23:19:46Z,2024-04-09T23:38:48Z,2,1,2,,,,,,,2,2,1,2,2,2,2,1,2,,3,3,3,3,3,3,3,2,4,4,4,4,4,2,,,1,1,2,,2,,,,2,2,2,3,3,2,4,1,,,,2,1,1,,1,,1,1,1,,2,,1,,,,4,3,,,,3,4,4,,,2,3,3,2,,2,2,3,1,2,2,,2,2,3,99,3,,2,2,,99,,,,2,2,1,,1,2,,,,,,2,,1,,,1,2,3,,,1,1,1,2,3,3,4,2,2,3,2,,1,1,1,1,1,1,1,1,2,1,,1,1,1,4,2,2,2,1,3,,0.7713144121176321,
110550,2024-04-10T00:00:30Z,2024-04-10T00:24:03Z,2,1,2,,,,,,,2,2,1,3,3,1,2,1,1,,1,3,1,1,1,2,3,1,5,5,5,5,4,1,,,1,1,1,,1,,,,1,2,2,1,3,2,5,1,,,,1,2,1,,1,,1,2,1,,2,,3,,,,3,3,,,,4,3,3,,,1,1,4,1,,2,1,1,1,1,1,,1,3,4,1,5,,1,1,1,,,,,1,2,1,,1,3,,,,,,2,,2,,,1,1,2,,,2,3,1,3,6,2,3,1,1,5,2,,1,1,1,1,1,1,2,1,2,4,1,1,2,1,9,3,2,1,3,1,,0.6019086245423141,
111646,2024-04-09T19:32:54Z,2024-04-10T13:04:54Z,2,1,1,2,2,2,2,1,2,,,,,,,2,2,,1,1,2,,5,4,5,5,5,2,2,1,1,2,1,1,1,,,,1,2,1,1,99,,,,1,1,4,2,1,1,1,2,,,,1,99,1,,1,,99,,2,,1,2,4,,,2,2,1,,,,2,1,,,2,2,3,,,,,,,2,1,3,1,1,2,3,,2,,1,2,1,2,,,,2,,,2,2,1,2,,,,,1,1,,1,2,3,3,,,1,4,8,2,4,2,1,5,2,,1,1,1,1,1,3,2,4,2,2,,2,3,1,9,3,2,1,2,2,2,0.8968749824400194,2.372741503192453
111927,2024-04-09T22:08:32Z,2024-04-09T22:27:57Z,2,1,1,2,2,2,3,2,2,,,,,,,2,1,,3,3,3,1,3,3,3,3,3,4,4,4,4,4,2,1,2,,,,2,3,2,2,2,,,,2,2,3,4,2,1,1,2,,,,2,1,3,,3,,1,,2,,1,4,3,,,5,1,1,,,,1,2,,,3,4,1,,,,,,,1,2,2,3,3,4,1,,1,99,,1,1,2,,,,3,,,3,3,2,,2,,,,4,2,,2,3,2,1,,,1,2,3,3,4,2,3,2,2,,1,1,1,1,3,12,,3,4,4,99,9,9,1,1,2,2,2,1,1,,1.0381270289602442,
112238,2024-04-09T20:12:56Z,2024-04-09T20:28:07Z,2,1,1,2,2,2,2,2,2,,,,,,,2,1,,2,1,1,,2,2,2,3,3,5,5,5,5,4,1,2,2,,,,1,1,2,2,2,,,,1,1,2,4,1,1,1,2,,,,2,1,2,,2,,1,,2,,1,3,3,,,3,2,2,,,,1,1,,,3,3,1,,,,,,,1,2,3,4,2,4,1,,1,1,,1,1,2,,,,2,,,1,1,2,,2,,,,3,3,,2,2,2,1,,,1,4,8,2,4,2,3,2,2,,1,1,1,1,2,12,,3,5,1,,1,2,1,3,3,2,2,2,1,1,0.7239765392207699,0.5656026567067499
